locusId	sysName	desc	comb	setAS3 0-5	setAS5 10
GFF1190		hypothetical protein	 hypothetical protein	2056	2935
GFF1209		hypothetical protein	 hypothetical protein	125	177
GFF1357		hypothetical protein	 hypothetical protein	331	578
GFF1439		multidrug efflux protein	 multidrug efflux protein	809	1081
GFF1496		hypothetical protein	 hypothetical protein	31	62
GFF160		2-isopropylmalate synthase	 2-isopropylmalate synthase	1957	3240
GFF1606		hypothetical protein	 hypothetical protein	318	471
GFF1629		hypothetical protein	 hypothetical protein	216	308
GFF1704		hypothetical protein	 hypothetical protein	646	1028
GFF1835		cytochrome C	 cytochrome C	773	1051
GFF2046		hypothetical protein	 hypothetical protein	203	302
GFF2212		hypothetical protein	 hypothetical protein	546	840
GFF2252		IS66 family transposase	 IS66 family transposase	2137	3237
GFF2279		IS3 family transposase	 IS3 family transposase	670	1007
GFF2280		IS3 family transposase	 IS3 family transposase	503	801
GFF365		IS66 family transposase	 IS66 family transposase	983	1418
GFF366		IS66 family transposase	 IS66 family transposase	375	485
GFF371		Killer protein	 Killer protein	253	345
GFF455		integrase	 integrase	638	905
GFF511		pilus assembly protein PilG	 pilus assembly protein PilG	2032	2367
GFF559		hypothetical protein	 hypothetical protein	437	587
GFF718		flagellar biosynthesis protein FlhA	 flagellar biosynthesis protein FlhA	5326	7729
GFF782		hypothetical protein	 hypothetical protein	1265	1779
GFF824		hypothetical protein	 hypothetical protein	246	336
GFF879		hypothetical protein	 hypothetical protein	368	549
GFF880		IS3 family transposase	 IS3 family transposase	1120	1549
GFF881		GNAT family N-acetyltransferase	 GNAT family N-acetyltransferase	356	518
GFF94		hypothetical protein	 hypothetical protein	295	473
GFF951		IS3 family transposase	 IS3 family transposase	654	912
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	HNEAP_RS00025 DNA replication and repair protein RecF	519	865
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	HNEAP_RS00035 LemA family protein	724	1149
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	HNEAP_RS00040 hypothetical protein	1340	2212
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	HNEAP_RS00045 exodeoxyribonuclease III	353	638
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	HNEAP_RS00050 ABC transporter permease	2328	3748
