locusId	sysName	desc	comb	setAS7 1-5	setAS8 5
GFF1190		hypothetical protein	 hypothetical protein	0.0392180495063879	0.0224322161832821
GFF1209		hypothetical protein	 hypothetical protein	0.168402212448212	0.0698377324332985
GFF1357		hypothetical protein	 hypothetical protein	-1.13394175499084	-1.03305310963186
GFF1439		multidrug efflux protein	 multidrug efflux protein	-0.147150518912456	-0.0799033495152317
GFF1496		hypothetical protein	 hypothetical protein	0.111387603618585	-0.022535819662263
GFF160		2-isopropylmalate synthase	 2-isopropylmalate synthase	0.0248242042275642	0.0158030641077127
GFF1606		hypothetical protein	 hypothetical protein	-0.0414199480791847	0.00371487016238661
GFF1629		hypothetical protein	 hypothetical protein	0.237303366784393	0.119757875915095
GFF1704		hypothetical protein	 hypothetical protein	0.0997145247776536	0.23168899602038
GFF1835		cytochrome C	 cytochrome C	-0.126465565416859	-0.041074524769551
GFF2046		hypothetical protein	 hypothetical protein	0.124527322857233	0.102402554231715
GFF2212		hypothetical protein	 hypothetical protein	-0.0794154660593507	-0.0709701746887561
GFF2252		IS66 family transposase	 IS66 family transposase	0.0110716300715788	0.0854594590067712
GFF2279		IS3 family transposase	 IS3 family transposase	0.0204398032425284	0.0412194253265664
GFF2280		IS3 family transposase	 IS3 family transposase	-0.0570410457446704	-0.0471775120848205
GFF365		IS66 family transposase	 IS66 family transposase	-0.0643522996280033	-0.021605363258692
GFF366		IS66 family transposase	 IS66 family transposase	0.120136907217323	0.108961557310019
GFF371		Killer protein	 Killer protein	0.101529064652236	-0.0858186473836097
GFF455		integrase	 integrase	0.133548634020627	0.229165933876997
GFF511		pilus assembly protein PilG	 pilus assembly protein PilG	0.591414782709514	0.488177312679246
GFF559		hypothetical protein	 hypothetical protein	0.109761386997616	0.29740654193301
GFF718		flagellar biosynthesis protein FlhA	 flagellar biosynthesis protein FlhA	-0.147105155359724	-0.165352393411637
GFF782		hypothetical protein	 hypothetical protein	0.143124935168624	0.148015123023338
GFF824		hypothetical protein	 hypothetical protein	0.060772635222767	0.0342853878047788
GFF879		hypothetical protein	 hypothetical protein	-0.166948088687987	-0.254515000724954
GFF880		IS3 family transposase	 IS3 family transposase	-0.0302500057111806	-0.00193528883803626
GFF881		GNAT family N-acetyltransferase	 GNAT family N-acetyltransferase	-0.0456715118144621	-0.134284707602214
GFF94		hypothetical protein	 hypothetical protein	-0.103710639453817	-0.195290543871541
GFF951		IS3 family transposase	 IS3 family transposase	-0.0373035931438981	-0.0769270367295189
HNEAP_RS00025	HNEAP_RS00025	DNA replication and repair protein RecF	HNEAP_RS00025 DNA replication and repair protein RecF	-0.314214160264058	-0.327401084252722
HNEAP_RS00035	HNEAP_RS00035	LemA family protein	HNEAP_RS00035 LemA family protein	0.0185880689094862	-0.1530899814432
HNEAP_RS00040	HNEAP_RS00040	hypothetical protein	HNEAP_RS00040 hypothetical protein	0.0178387697192475	0.0558396083037253
HNEAP_RS00045	HNEAP_RS00045	exodeoxyribonuclease III	HNEAP_RS00045 exodeoxyribonuclease III	0.144994039781134	-0.0902934710644618
HNEAP_RS00050	HNEAP_RS00050	ABC transporter permease	HNEAP_RS00050 ABC transporter permease	-0.000523768721580761	-0.0291446796391894
HNEAP_RS00055	HNEAP_RS00055	ABC transporter	HNEAP_RS00055 ABC transporter	0.0895800404059638	0.0738111136502468
HNEAP_RS00060	HNEAP_RS00060	arylesterase	HNEAP_RS00060 arylesterase	0.00869469318878049	-0.0708505240954179
HNEAP_RS00065	HNEAP_RS00065	DUF559 domain-containing protein	HNEAP_RS00065 DUF559 domain-containing protein	-0.0248630020369747	-0.0630150990662481
HNEAP_RS00070	HNEAP_RS00070	IS110 family transposase	HNEAP_RS00070 IS110 family transposase	-0.0653518425730718	-0.058572686388242
